O=[P@]1(N(CCCl)CCCl)NCCCO1	ZINC000000155694
C[C@H](S)C(=O)NCC(=O)O	ZINC000000155905
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	ZINC000000156395
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1	ZINC000000156792
N[C@@H](Cc1ccc(O)cc1)C(=O)O	ZINC000000266964
NCCc1cnc[nH]1	ZINC000000388081
O=C(O)Cc1ccccc1	ZINC000000388462
CC(=O)Oc1c(C)cc(OC[C@@H](O)CNC(C)C)c(C)c1C	ZINC000000389149
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5	ZINC000000389747
CN1CCC[C@H]1c1cccnc1	ZINC000000391812
COc1ccccc1OC[C@@H](O)CO	ZINC000000394284
COC(=O)c1ccc(C)cc1O	ZINC000000395010
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1	ZINC000000402830
C[C@@H](C(=O)O)c1cccc(Oc2ccccc2)c1	ZINC000000402909
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5	ZINC000000402954
C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1	ZINC000000403010
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1	ZINC000000403011
COc1ccc(OC)c([C@@H](O)CNC(=O)CN)c1	ZINC000000403079
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314	ZINC000000403533
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1	ZINC000000403566
CC(C)(C)NC[C@@H](O)COc1nsnc1N1CCOCC1	ZINC000000403609
C=C[C@H](N)CCC(=O)O	ZINC000000403618
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	ZINC000000491073
CN(C)CC[C@H](c1ccccc1)c1ccccn1	ZINC000000508068
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O	ZINC000000509440
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000000518554
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	ZINC000000527386
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21	ZINC000000537752
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)/N=C(\O)NC3CCC(C)CC3)cc2)C1=O	ZINC000000537791
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)/N=C(\O)NC3CCCCC3)cc2)cn1	ZINC000000537795
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1	ZINC000000537805
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	ZINC000000537822
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	ZINC000000537891
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1	ZINC000000537928
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1	ZINC000000537931
Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br	ZINC000000537957
O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1	ZINC000000537964
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	ZINC000000538065
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21	ZINC000000538266
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	ZINC000000538273
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	ZINC000000538275
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1	ZINC000000538283
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	ZINC000000538312
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	ZINC000000538386
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12	ZINC000000538483
COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC	ZINC000000538509
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	ZINC000000538550
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	ZINC000000538564
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	ZINC000000538621
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O	ZINC000000538627
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1	ZINC000000538658
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1	ZINC000000584092
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-]	ZINC000000591993
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1	ZINC000000592419
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1	ZINC000000596731
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	ZINC000000596881
COc1cc2c(cc1OC)C(=O)[C@@H](CC1CCN(Cc3ccccc3)CC1)C2	ZINC000000597013
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1	ZINC000000599734
Nc1ccncc1	ZINC000000599985
CN1CCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	ZINC000000601229
Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	ZINC000000601250
CCOC(=O)O[C@@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C	ZINC000000601253
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C	ZINC000000601254
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	ZINC000000601281
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	ZINC000000601283
